* Measurement data measured by REW V5.31.3
* Source: /home/delab/repos/sound_calibration/data/captured_sweep_L.wav
* Format: 256k Log Swept Sine, 1 sweep using an acoustic timing reference
* Dated: 28-May-2026 19:28:39
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement generated from imported files Stimulus: 256kMeasSweep_0_to_20000_-12_dBFS_48k_Float_mono.wav Response: captured_sweep_L.wav
* Measurement: captured_sweep_L
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 56.294 129.7622
0.732422 56.374 70.0535
1.098633 58.747 15.2212
1.464844 61.230 -23.5227
1.831055 62.427 -52.0409
2.197266 62.053 -73.9269
2.563477 59.859 -87.6444
2.929688 56.027 -80.9488
3.295898 56.157 -48.2396
3.662109 59.618 -43.5575
4.028320 61.075 -57.5900
4.394531 60.070 -80.1773
4.760742 55.717 -117.7174
5.126953 52.962 141.1248
5.493164 60.458 80.7549
5.859375 64.506 51.0546
6.225586 66.324 26.9430
6.591797 66.614 4.9589
6.958008 65.601 -15.4286
7.324219 63.295 -33.6343
7.690430 59.609 -47.5494
8.056641 54.732 -51.8835
8.422852 50.558 -43.3793
8.789062 48.503 -44.8716
9.155273 46.117 -74.1932
9.521484 44.519 -127.3768
9.887695 43.895 -171.7789
10.253906 36.939 -177.8634
10.620117 44.505 -87.5446
10.986328 52.795 -103.0948
11.352539 56.807 -126.6666
11.718750 58.661 -152.6335
12.084961 58.934 178.7266
12.451172 57.850 145.1897
12.817383 55.842 101.6807
13.183594 54.730 44.9518
13.549805 55.943 -8.7139
13.916016 57.365 -48.9960
14.282227 57.721 -81.4664
14.648438 56.785 -110.6024
15.014648 54.417 -138.9008
15.380859 50.239 -169.0642
15.747070 43.380 150.4194
16.113281 36.586 64.5610
16.479492 38.187 -1.3130
16.845703 35.881 -23.4183
17.211914 30.333 21.5725
17.578125 38.017 55.3834
17.944336 41.845 45.4462
