* Measurement data measured by REW V5.31.3
* Source: /home/delab/repos/sound_calibration/data/captured_sweep_LR.wav
* Format: 256k Log Swept Sine, 1 sweep using an acoustic timing reference
* Dated: 28-May-2026 19:28:50
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement generated from imported files Stimulus: 256kMeasSweep_0_to_20000_-12_dBFS_48k_Float_mono.wav Response: captured_sweep_LR.wav
* Measurement: captured_sweep_LR
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 56.815 -41.0657
0.732422 56.831 -83.4846
1.098633 57.166 -126.5973
1.464844 57.802 -167.8817
1.831055 58.340 154.3024
2.197266 58.306 119.6017
2.563477 57.253 86.6364
2.929688 54.493 53.1338
3.295898 47.900 9.5446
3.662109 44.890 -132.7948
4.028320 54.313 172.2957
4.394531 58.622 139.8577
4.760742 60.976 110.8759
5.126953 62.230 83.3817
5.493164 62.728 57.0178
5.859375 62.645 31.7921
6.225586 62.078 7.7830
6.591797 61.071 -14.9902
6.958008 59.614 -36.6050
7.324219 57.627 -57.1237
7.690430 54.936 -76.1831
8.056641 51.265 -91.7794
8.422852 46.599 -96.4239
8.789062 43.999 -80.7749
9.155273 45.967 -79.6434
9.521484 48.079 -101.7277
9.887695 49.402 -132.1777
10.253906 49.536 -162.9220
10.620117 47.869 171.4790
10.986328 43.137 166.2661
11.352539 44.094 -138.0449
11.718750 51.735 -139.0129
12.084961 56.159 -160.6387
12.451172 58.723 173.0708
12.817383 60.041 144.3755
13.183594 60.386 113.4199
13.549805 59.922 79.5996
13.916016 58.815 41.7755
14.282227 57.363 -1.4579
14.648438 56.113 -50.4358
15.014648 55.618 -102.0781
15.380859 55.835 -151.2795
15.747070 56.237 164.5305
16.113281 56.348 125.3994
16.479492 55.816 90.8130
16.845703 54.259 60.5505
17.211914 51.019 35.5471
17.578125 44.238 24.1138
17.944336 39.356 102.8510
18.310547 47.335 115.5243
18.676758 50.075 104.3622
19.042969 50.317 96.0410
19.409180 49.444 98.9803
19.775391 49.936 113.1521
20.141602 52.296 119.3055
20.507812 54.267 113.4819
20.874023 55.043 102.1310
21.240234 54.523 89.4950
21.606445 52.587 79.0349
21.972656 49.017 77.6655
22.338867 45.498 103.9773
22.705078 48.224 134.6968
23.071289 52.027 135.7954
23.437500 54.702 125.5000
23.803711 56.630 110.7286
24.169922 58.058 93.5254
24.536133 59.021 75.0339
24.902344 59.424 56.4415
25.268555 59.082 39.3959
25.634766 57.774 27.0026
26.000977 55.643 26.5513
26.367188 55.175 44.1162
26.733398 58.082 53.5612
27.099609 60.879 45.2578
27.465820 62.395 28.2842
27.832031 62.597 6.5170
28.198242 61.467 -19.8582
28.564453 58.962 -54.1171
28.930664 55.911 -104.9172
29.296875 55.648 -167.0413
29.663086 57.066 147.7518
30.029297 56.977 116.3851
30.395508 54.182 92.1650
30.761719 44.758 82.1549
31.127930 47.804 -154.4824
31.494141 55.270 -167.4966
31.860352 57.610 173.4614
32.226562 57.285 153.6311
32.592773 54.119 133.1400
32.958984 43.981 106.1777
33.325195 47.095 -72.5703
33.691406 54.413 -94.9087
34.057617 56.508 -112.3452
34.423828 55.934 -126.8630
34.790039 52.636 -134.6558
35.156250 46.079 -109.5664
35.522461 49.237 -50.8641
35.888672 53.373 -47.6682
36.254883 54.128 -54.1450
36.621094 52.106 -55.6285
36.987305 48.569 -30.1644
37.353516 51.176 8.0303
37.719727 54.508 11.2594
38.085938 55.061 2.9974
38.452148 52.272 -4.4572
38.818359 43.926 28.7848
39.184570 51.356 97.3220
39.550781 56.351 89.9299
39.916992 57.116 73.2748
40.283203 53.001 51.6647
40.649414 45.221 -120.5266
41.015625 60.325 -156.3896
41.381836 65.916 -178.0615
41.748047 68.869 161.1582
42.114258 70.230 140.5603
42.480469 70.303 120.0066
42.846680 69.098 99.4438
43.212891 66.352 78.7673
43.579102 61.119 57.4504
43.945312 47.629 27.1785
44.311523 53.165 -151.7886
44.677734 58.298 -173.4272
45.043945 58.742 169.3123
45.410156 56.438 156.7302
45.776367 51.278 158.5659
46.142578 47.679 -155.6499
46.508789 51.173 -133.8716
46.875000 52.233 -139.6030
47.241211 50.302 -150.8540
47.607422 44.106 -160.5742
47.973633 30.907 -37.5728
48.339844 45.032 -20.0110
48.706055 48.198 -27.5608
49.072266 48.467 -32.9504
49.438477 47.110 -32.4604
49.804688 45.047 -22.3474
50.170898 43.742 -3.5400
50.537109 43.678 13.0557
50.903320 43.505 22.3203
51.269531 42.123 28.6934
51.635742 38.978 42.3906
52.001953 36.604 83.3171
52.368164 39.823 114.9072
52.734375 42.201 118.4199
53.100586 41.962 112.7307
53.466797 38.044 106.7332
53.833008 24.834 174.5947
54.199219 39.231 -123.5674
