* Measurement data measured by REW V5.31.3
* Source: /home/delab/repos/sound_calibration/data/captured_sweep_R.wav
* Format: 256k Log Swept Sine, 1 sweep using an acoustic timing reference
* Dated: 28-May-2026 19:28:44
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement generated from imported files Stimulus: 256kMeasSweep_0_to_20000_-12_dBFS_48k_Float_mono.wav Response: captured_sweep_R.wav
* Measurement: captured_sweep_R
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 53.795 140.3816
0.732422 57.549 117.5531
1.098633 60.453 101.1588
1.464844 62.213 86.1439
1.831055 62.785 71.4711
2.197266 62.058 57.3741
2.563477 59.666 44.9932
2.929688 54.391 39.1445
3.295898 44.650 99.2443
3.662109 54.046 153.1756
4.028320 58.516 149.2999
4.394531 60.345 140.8838
4.760742 60.725 131.9606
5.126953 59.968 123.0273
5.493164 57.906 113.8969
5.859375 53.554 104.7924
6.225586 40.419 106.3029
6.591797 48.991 -109.7051
6.958008 55.407 -120.0518
7.324219 57.537 -133.1068
7.690430 57.290 -145.6231
8.056641 54.686 -153.7857
8.422852 49.204 -141.1832
8.789062 49.017 -86.0038
9.155273 53.166 -75.1246
9.521484 54.024 -80.9151
9.887695 51.696 -82.5300
10.253906 47.790 -49.0419
10.620117 51.907 -14.5536
10.986328 55.232 -20.3273
11.352539 55.766 -38.0898
11.718750 53.547 -63.9290
12.084961 47.589 -115.1758
12.451172 49.347 140.3832
12.817383 55.092 97.1971
13.183594 57.470 70.4926
13.549805 57.648 48.1229
13.916016 55.869 29.0343
14.282227 51.730 17.0251
14.648438 45.218 34.9227
15.014648 46.599 77.2916
15.380859 49.095 71.3764
15.747070 48.268 48.1419
16.113281 44.270 7.9724
16.479492 40.864 -72.9210
16.845703 43.462 -138.4985
17.211914 42.470 178.6204
17.578125 35.345 79.8708
17.944336 47.047 -14.4161
18.310547 53.285 -45.1599
18.676758 56.368 -68.9532
19.042969 57.516 -89.8881
19.409180 56.998 -108.1263
19.775391 54.603 -121.4718
20.141602 49.681 -118.6693
20.507812 47.647 -68.8142
20.874023 52.808 -51.5527
21.240234 55.682 -59.9252
21.606445 56.592 -74.4465
21.972656 55.973 -92.2288
22.338867 53.814 -115.3600
22.705078 50.188 -154.8944
23.071289 49.901 136.1880
23.437500 54.493 90.2427
23.803711 58.000 64.6876
24.169922 60.088 45.2186
24.536133 60.991 28.0657
24.902344 60.724 12.6015
25.268555 59.053 0.1772
25.634766 55.402 -2.4649
26.000977 51.620 32.3666
26.367188 56.322 64.6262
26.733398 60.563 60.0569
27.099609 62.851 45.5083
